Unnamed: 0,Unnamed: 1,본선,Unnamed: 3,ICJC1,Unnamed: 5,ICJC2,Unnamed: 7,ICJC3,Unnamed: 9,ICJC4,Unnamed: 11,ICJC5,Unnamed: 13,ICJC6,Unnamed: 15,ICJC7,Unnamed: 17,ICJC8,Unnamed: 19,ICJC9,Unnamed: 21,기타1,Unnamed: 23,기타2,Unnamed: 25,기타3,Unnamed: 27,기타4,Unnamed: 29,기타5,Unnamed: 32,,이벤트발생
공사일지일자,토공,0~1240,,Ramp-A,,Ramp-B,,Ramp-C,,Ramp-D,,Ramp-E,,Ramp-F,,Ramp-G,,Ramp-H,,Ramp-I,,분류불능,,C/R장,,부체도로,,임목파쇄장,,산외교 함양방향,,,
20151030,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151031,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151101,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151102,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151103,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151104,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151105,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151106,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151107,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151108,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151109,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151110,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151111,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151112,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151113,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151114,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151115,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151116,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151117,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151118,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151119,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151120,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151121,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151122,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151123,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151124,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151125,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151126,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151127,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151128,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151129,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151130,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151201,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151202,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151203,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151204,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151205,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151206,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151207,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151208,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151209,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151210,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151211,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151212,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151213,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151214,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151215,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151216,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151217,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151218,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151221,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151222,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151223,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151224,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151228,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151229,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151230,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151231,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20160104,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20160105,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20160106,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20160107,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20160108,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20160111,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20160112,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20160113,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20160114,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20160118,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20160119,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20160120,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20160121,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
