colums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP,,,,,
공사일지일자,엑셀일자,공사일지당일작업내용,요일,공휴일,휴일(쉬는날),감독일지내용,,S+0,predict,S+0,predict,S+1,predict,S+1,predict,S+2,predict,S+2,predict,S+3,predict,S+3,predict,S+3,predict,S+4,predict,S+4,predict,S+4,predict,S+5,predict,S+5,predict,S+5,predict,S+6,predict,S+6,predict,R-A,predict,R-B,predict,R-C,predict,R-D,predict,부체,predict,부체#1,predict,부체#2,predict,부체#3,predict,부체#4,predict,부체#5,predict,부체#6,predict,부체#7,predict,부체#8,predict,부체#9,predict,부체#10,predict,부체#11,predict,시점부,predict,종점부,predict,진입도로,predict,리도210호선,predict,휴게소,predict,분류불능,predict,기타,predict
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100320,2010-03-20,STA. 1+400 흙깎기,토,,휴일,- 휴 무,,,,,,STA. 1+400 흙깎기,"('토공','본선','흙깎기','흙깎기기타')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100321,2010-03-21,STA. 1+400 흙깎기,일,,휴일,- 휴 무,,START,,,,STA. 1+400 흙깎기,"('토공','본선','흙깎기','흙깎기기타')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100322,2010-03-22,STA. 0+700 성토STA. 1+400 암정리 작업STA. 4+300 흙깎기,월,,,"09:00~11:00 5,6 공구 공사추진관련 회의 - 3월 재정집행 가능여부 검토 16:00~18:00 군업4교 P4 거푸집조립상태 점검등 - 측량 및 거푸집 결속상태, 철근조립상태등",,STA. 0+700 성토,"('토공','IC/JC','흙쌓기','흙쌓기기타')",,,STA. 1+400 암정리 작업,"('토공','IC/JC','흙쌓기','흙쌓기기타')",,,,,,,,,,,,,STA. 4+300 흙깎기,"('토공','본선','흙깎기','흙깎기기타')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100323,2010-03-23,STA. 1+400 흙깎기,화,,,13:00~14:00 사업단 청렴관련 교육 실시14:00~18:00 사업단 청렴향상방안 워크샵 및 이노미팅 실시 - 신뢰향상을 위한 제도개선마련등,,,,,,STA. 1+400 흙깎기,"('토공','본선','흙깎기','흙깎기기타')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100324,2010-03-24,STA. 1+400 흙깎기STA. 0+700 노체성토,수,,,09:00~10:00 확대기초 암판정 서류 확인 및 사업단 제출10:00~11:00 외삼포교 A1 기초 시공계획 검토 지시 - 양양방향 기초 E.L 인상시 현지지형과의 문제점 확인 지시11:00~12:00 5공구 시점부 토공 관리 현장 점검 - Over size 제거등 품질관리 철저 지시15:00~18:00 3월 약식기성자료 검토 - 5공구 :　7억 - 6공구 : 14억,,STA. 0+700 노체성토,"('토공','IC/JC','흙쌓기','노체')",,,STA. 1+400 흙깎기,"('토공','본선','흙깎기','흙깎기기타')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100325,2010-03-25,,목,,,13:00 ~ 15:00 : 화촌터널 종점 갱구부 실정보고 자료 검토 15:00 ~ 17:00 : 공사추진관련 회의 - 6공구 : 장평1터널 저점부 통과구간 시공방법 검토 - 5공구 : 외삼포교 및 시점부 토공관련 검토 17:00 ~ 18:00 : 산마루측구 거푸집 조립상태 점검,,,,,,END,"토공,본선,흙깍기,흙까기기타",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100326,2010-03-26,STA. 1+400 흙운반STA. 0+700 노체성토,금,,,13:00 ~ 14:00 시점부 토공현황 확인 - 절성경계부 맹암거 시공상태 및 측구 터파기 현황 확인 14:00 ~ 15:00 군업1교 레벨링 콘크리트 타설확인 - 청소상태 및 규격 15:00 ~ 17:00 맞춤형 B/P 자료 검토 17:00 ~ 18:00 군업3교 철근 조립상태 점검,,STA. 0+700 노체성토,"('토공','IC/JC','흙쌓기','노체')",,,STA. 1+400 흙운반,"('토공','IC/JC','흙쌓기','토공기타')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100327,2010-03-27,STA. 0+700 노체성토,토,,휴일,07:00~08:00 장평1터널 터널발파 타입확인 및 현장 안전관리 점검18:00~19:00 장평1터널 터널발파 타입확인 및 현장 안전관리 점검,,STA. 0+700 노체성토,"('토공','IC/JC','흙쌓기','노체')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100328,2010-03-28,STA. 0+700 노체성토,일,,휴일,- 휴무,,STA. 0+700 노체성토,"('토공','IC/JC','흙쌓기','노체')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100329,2010-03-29,STA. 0+600~700 노체성토STA. 1+400 상차,월,,,"09:00 ~ 10:30 : 5, 6공구 공사추진관련 회의 - 5공구 : 화촌터널 공사추진계획 검토 - 6공구 : 장평1, 2교 공사추진계획 검토 16:00 ~ 17:00 : 외삼포교 A2 교대 철근 조립상태 점검 17:00 ~ 18:00 : 군업5교 철근조립상태 점검",,STA. 0+600~700 노체성토,"('토공','IC/JC','흙쌓기','노체')",,,STA. 1+400 상차,"('토공','본선','흙쌓기','노상')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
